crop,rainfall_mm,temperature_c,soil_nitrogen_kg_ha,fertilizer_kg_ha,cultivated_area_ha,yield_t_ha
Wheat,841.9,28.5,77.6,81.6,4.1,3.05
Soybean,678.3,25.5,67.1,130.3,2.87,3.15
Maize,621.4,23.5,85.2,71.5,2.7,3.15
Rice,463.6,25.4,79.0,107.9,3.67,3.73
Rice,348.6,31.8,64.7,118.8,1.45,1.13
Soybean,562.5,32.3,126.0,200.0,3.42,1.47
Wheat,640.3,24.3,120.7,66.8,5.3,3.65
Maize,968.2,24.6,107.7,166.5,3.56,3.96
Wheat,673.4,28.3,66.6,120.2,2.55,3.06
Wheat,826.9,20.6,102.1,129.4,2.39,3.16
Maize,560.1,25.3,97.8,119.1,2.51,3.72
Soybean,436.7,23.9,93.9,130.6,2.7,3.3
Maize,476.3,25.3,110.0,109.6,2.55,4.21
Soybean,519.5,20.7,97.7,165.9,4.1,2.81
Maize,1033.1,17.6,99.8,99.0,0.92,2.85
Soybean,502.2,15.7,97.7,154.6,4.03,1.73
Maize,800.9,19.5,91.8,92.4,2.54,3.51
Wheat,487.5,22.2,49.3,112.9,3.45,2.71
Soybean,817.7,22.8,86.7,77.5,1.65,3.71
Rice,719.3,31.7,73.9,130.9,4.59,1.76
Maize,621.8,28.4,59.4,165.6,4.49,2.92
Rice,642.7,20.2,118.6,112.3,4.15,3.24
Wheat,532.1,25.4,119.6,108.1,1.18,3.6
Soybean,730.3,22.4,112.2,76.0,3.99,3.06
Soybean,568.1,22.9,90.1,107.0,3.49,3.37
Maize,429.4,24.7,112.0,59.3,1.07,3.29
Rice,420.0,26.5,85.2,83.0,2.97,2.93
Soybean,681.1,22.6,89.1,122.9,3.44,3.0
Maize,934.2,28.3,63.1,161.2,3.67,3.79
Rice,678.8,19.4,92.9,200.0,3.21,3.61
Rice,628.6,24.0,86.2,94.5,3.35,3.39
Wheat,701.4,34.4,58.9,165.2,4.77,1.0
Wheat,885.1,24.9,84.0,123.5,4.47,3.56
Maize,689.5,29.7,83.4,109.7,0.5,2.09
Soybean,576.0,24.4,121.0,130.1,2.62,3.53
Wheat,849.1,26.3,102.9,117.2,2.8,4.41
Soybean,727.2,23.8,85.2,118.9,0.9,3.44
Soybean,926.4,23.3,90.0,100.7,3.11,4.2
Rice,683.0,20.9,85.9,66.1,4.5,3.1
Maize,429.6,25.7,80.9,61.0,1.7,2.9
Wheat,403.7,20.6,63.4,137.9,3.4,2.68
Soybean,947.2,26.7,82.0,105.3,1.9,4.04
Maize,960.3,28.3,70.1,94.1,2.19,3.07
Rice,617.7,25.5,60.0,115.3,4.77,2.88
